N,P,K,OC
138.0,13.1,25.0,0.2
151.0,16.9,31.0,0.27
113.0,16.9,12.0,0.25
113.0,16.9,12.0,0.25
113.0,16.9,12.0,0.25
125.0,24.6,99.0,0.23
125.0,24.6,99.0,0.23
125.0,24.6,99.0,0.23
125.0,24.6,99.0,0.23
125.0,24.6,99.0,0.23
63.0,22.3,428.0,0.36
63.0,22.3,428.0,0.36
63.0,22.3,428.0,0.36
63.0,22.3,428.0,0.36
75.0,39.94,478.0,0.2
201.0,33.8,478.0,0.11
201.0,33.8,478.0,0.11
201.0,33.8,478.0,0.11
113.0,33.0,25.0,0.24
201.0,22.3,50.0,0.39
201.0,22.3,50.0,0.39
50.0,15.4,130.0,0.36
151.0,12.3,19.0,0.3
151.0,12.3,19.0,0.3
75.0,9.2,31.0,0.3
75.0,9.2,31.0,0.3
125.0,34.6,31.0,0.39
125.0,34.6,31.0,0.39
138.0,23.8,341.0,0.12
176.0,17.7,527.0,0.11
176.0,17.7,527.0,0.11
176.0,17.7,527.0,0.11
213.0,38.4,199.0,0.35
213.0,38.4,199.0,0.35
213.0,38.4,199.0,0.35
213.0,38.4,199.0,0.35
213.0,38.4,199.0,0.35
213.0,38.4,199.0,0.35
63.0,21.5,12.0,0.45
63.0,21.5,12.0,0.45
163.0,16.9,43.0,0.27
163.0,26.1,12.0,0.35
163.0,26.1,12.0,0.35
163.0,26.1,12.0,0.35
176.0,32.3,37.0,0.45
138.0,22.3,19.0,0.26
125.0,23.0,354.0,0.39
125.0,23.0,354.0,0.39
176.0,20.7,515.0,0.26
176.0,20.7,515.0,0.26
176.0,20.7,515.0,0.26
176.0,20.7,515.0,0.26
188.0,46.08,602.0,0.27
63.0,30.0,341.0,0.23
63.0,20.7,31.0,0.15
63.0,21.5,12.0,0.45
63.0,21.5,12.0,0.45
13.0,48.38,119.4,0.19
151.0,31.5,147.5,0.25
63.0,6.9,295.0,0.37
63.0,37.6,203.7,0.39
100.0,30.7,470.6,0.32
113.0,129.8,133.4,0.38
176.0,63.7,119.4,0.17
13.0,26.9,161.5,0.38
38.0,38.4,84.3,0.16
125.0,46.08,384.9,0.25
125.0,46.08,384.9,0.25
201.0,26.9,223.5,0.31
201.0,26.9,223.5,0.31
113.0,79.1,589.7,0.18
